001a,external\ps3\ep1\scene\001a.png
me1b_def_a1_2,external\ps3\ep1\sprite\me1b_def_a1_2.png
me1b_hau_a1_0,external\ps3\ep2\sprite\me1b_hau_a1_0.png
me1b_hau_a1_1,external\ps3\ep2\sprite\me1b_hau_a1_1.png
me1b_hau_a1_2,external\ps3\ep2\sprite\me1b_hau_a1_2.png
me1b_huteki_a1_0,external\ps3\ep1\sprite\me1b_huteki_a1_0.png
me1b_huteki_a1_1,external\ps3\ep1\sprite\me1b_huteki_a1_1.png
me1b_huteki_a1_2,external\ps3\ep1\sprite\me1b_huteki_a1_2.png
me1b_ikari_a1_0,external\ps3\ep1\sprite\me1b_ikari_a1_0.png
me1b_ikari_a1_1,external\ps3\ep1\sprite\me1b_ikari_a1_1.png
me1b_ikari_a1_2,external\ps3\ep1\sprite\me1b_ikari_a1_2.png
me1b_majime_a1_0,external\ps3\ep1\sprite\me1b_majime_a1_0.png
me1b_majime_a1_1,external\ps3\ep1\sprite\me1b_majime_a1_1.png
me1b_majime_a1_2,external\ps3\ep1\sprite\me1b_majime_a1_2.png
me1b_odoroki_a1_0,external\ps3\ep1\sprite\me1b_odoroki_a1_0.png
me1b_odoroki_a1_1,external\ps3\ep1\sprite\me1b_odoroki_a1_1.png
me1b_odoroki_a1_2,external\ps3\ep1\sprite\me1b_odoroki_a1_2.png
me1b_sinmyou_a1_0,external\ps3\ep3\sprite\me1b_sinmyou_a1_0.png
me1b_sinmyou_a1_1,external\ps3\ep3\sprite\me1b_sinmyou_a1_1.png
me1b_sinmyou_a1_2,external\ps3\ep3\sprite\me1b_sinmyou_a1_2.png
me1b_tohoho_a1_0,external\ps3\ep1\sprite\me1b_tohoho_a1_0.png
me1b_tohoho_a1_1,external\ps3\ep1\sprite\me1b_tohoho_a1_1.png
me1b_tohoho_a1_2,external\ps3\ep1\sprite\me1b_tohoho_a1_2.png
me1b_tokui_a1_0,external\ps3\ep1\sprite\me1b_tokui_a1_0.png
me1b_tokui_a1_1,external\ps3\ep1\sprite\me1b_tokui_a1_1.png
me1b_tokui_a1_2,external\ps3\ep1\sprite\me1b_tokui_a1_2.png
me1b_warai_a1_0,external\ps3\ep1\sprite\me1b_warai_a1_0.png
me1b_warai_a1_1,external\ps3\ep1\sprite\me1b_warai_a1_1.png
me1b_warai_a1_2,external\ps3\ep1\sprite\me1b_warai_a1_2.png
me1b_wink_a1_0,external\ps3\ep1\sprite\me1b_wink_a1_0.png
me1b_wink_a1_1,external\ps3\ep1\sprite\me1b_wink_a1_1.png
me1b_wink_a1_2,external\ps3\ep1\sprite\me1b_wink_a1_2.png
me1b_yowaki_a1_0,external\ps3\ep1\sprite\me1b_yowaki_a1_0.png
me1b_yowaki_a1_1,external\ps3\ep1\sprite\me1b_yowaki_a1_1.png
me1b_yowaki_a1_2,external\ps3\ep1\sprite\me1b_yowaki_a1_2.png
me2_akuwarai_a1_0,external\ps3\ep1\sprite\me2_akuwarai_a1_0.png
me2_akuwarai_a1_1,external\ps3\ep1\sprite\me2_akuwarai_a1_1.png
me2_akuwarai_a1_2,external\ps3\ep1\sprite\me2_akuwarai_a1_2.png
me2_def_a1_0,external\ps3\ep1\portrait\me2_def_a1_0.png
me2_def_a1_1,external\ps3\ep1\portrait\me2_def_a1_1.png
me2_def_a1_2,external\ps3\ep1\portrait\me2_def_a1_2.png
me2_hau_a1_0,external\ps3\ep2\portrait\me2_hau_a1_0.png
me2_hau_a1_1,external\ps3\ep2\portrait\me2_hau_a1_1.png
me2_hau_a1_2,external\ps3\ep2\portrait\me2_hau_a1_2.png
me2_hig_maji_a1_0,external\ps3\ep1\portrait\me2_hig_maji_a1_0.png
me2_hig_maji_a1_1,external\ps3\ep1\portrait\me2_hig_maji_a1_1.png
me2_hig_maji_a1_2,external\ps3\ep1\portrait\me2_hig_maji_a1_2.png
me2_huteki_a1_0,external\ps3\ep1\sprite\me2_huteki_a1_0.png
me2_huteki_a1_1,external\ps3\ep1\sprite\me2_huteki_a1_1.png
me2_huteki_a1_2,external\ps3\ep1\sprite\me2_huteki_a1_2.png
me2_ikari_a1_0,external\ps3\ep1\sprite\me2_ikari_a1_0.png
me2_ikari_a1_1,external\ps3\ep1\sprite\me2_ikari_a1_1.png
me2_ikari_a1_2,external\ps3\ep1\sprite\me2_ikari_a1_2.png
me2_majime_a1_0,external\ps3\ep1\sprite\me2_majime_a1_0.png
me2_majime_a1_1,external\ps3\ep1\sprite\me2_majime_a1_1.png
me2_majime_a1_2,external\ps3\ep1\sprite\me2_majime_a1_2.png
me2_odoroki_a1_0,external\ps3\ep1\sprite\me2_odoroki_a1_0.png
me2_odoroki_a1_1,external\ps3\ep1\sprite\me2_odoroki_a1_1.png
me2_odoroki_a1_2,external\ps3\ep1\sprite\me2_odoroki_a1_2.png
me2_sinmyou_a1_0,external\ps3\ep2\portrait\me2_sinmyou_a1_0.png
me2_sinmyou_a1_1,external\ps3\ep2\portrait\me2_sinmyou_a1_1.png
me2_sinmyou_a1_2,external\ps3\ep2\portrait\me2_sinmyou_a1_2.png
me2_tohoho_a1_0,external\ps3\ep1\sprite\me2_tohoho_a1_0.png
me2_tohoho_a1_1,external\ps3\ep1\sprite\me2_tohoho_a1_1.png
me2_tohoho_a1_2,external\ps3\ep1\sprite\me2_tohoho_a1_2.png
me2_tokui_a1_0,external\ps3\ep1\sprite\me2_tokui_a1_0.png
me2_tokui_a1_1,external\ps3\ep1\sprite\me2_tokui_a1_1.png
me2_tokui_a1_2,external\ps3\ep1\sprite\me2_tokui_a1_2.png
me2_warai_a1_0,external\ps3\ep1\portrait\me2_warai_a1_0.png
me2_warai_a1_1,external\ps3\ep1\portrait\me2_warai_a1_1.png
me2_warai_a1_2,external\ps3\ep1\portrait\me2_warai_a1_2.png
me2_wink_a1_0,external\ps3\ep1\sprite\me2_wink_a1_0.png
me2_wink_a1_1,external\ps3\ep1\sprite\me2_wink_a1_1.png
me2_wink_a1_2,external\ps3\ep1\sprite\me2_wink_a1_2.png
me2_yowaki_a1_0,external\ps3\ep2\portrait\me2_yowaki_a1_0.png
me2_yowaki_a1_1,external\ps3\ep2\portrait\me2_yowaki_a1_1.png
me2_yowaki_a1_2,external\ps3\ep2\portrait\me2_yowaki_a1_2.png
me3_akuwarai_a1_0,external\ps3\ep1\sprite\me3_akuwarai_a1_0.png
me3_akuwarai_a1_1,external\ps3\ep1\sprite\me3_akuwarai_a1_1.png
me3_akuwarai_a1_2,external\ps3\ep1\sprite\me3_akuwarai_a1_2.png
me3_def_a1_0,external\ps3\ep1\sprite\me3_def_a1_0.png
me3_def_a1_1,external\ps3\ep1\sprite\me3_def_a1_1.png
me3_def_a1_2,external\ps3\ep1\sprite\me3_def_a1_2.png
me3_huteki_a1_0,external\ps3\ep1\sprite\me3_huteki_a1_0.png
me3_huteki_a1_1,external\ps3\ep1\sprite\me3_huteki_a1_1.png
me3_huteki_a1_2,external\ps3\ep1\sprite\me3_huteki_a1_2.png
me3_ikari_a1_0,external\ps3\ep6\sprite\me3_ikari_a1_0.png
me3_ikari_a1_1,external\ps3\ep6\sprite\me3_ikari_a1_1.png
me3_ikari_a1_2,external\ps3\ep6\sprite\me3_ikari_a1_2.png
me3_majime_a1_0,external\ps3\ep6\sprite\me3_majime_a1_0.png
me3_majime_a1_1,external\ps3\ep6\sprite\me3_majime_a1_1.png
me3_majime_a1_2,external\ps3\ep6\sprite\me3_majime_a1_2.png
me3_odoroki_a1_0,external\ps3\ep6\sprite\me3_odoroki_a1_0.png
me3_odoroki_a1_1,external\ps3\ep6\sprite\me3_odoroki_a1_1.png
me3_odoroki_a1_2,external\ps3\ep6\sprite\me3_odoroki_a1_2.png
me3_tohoho_a1_0,external\ps3\ep1\sprite\me3_tohoho_a1_0.png
me3_tohoho_a1_1,external\ps3\ep1\sprite\me3_tohoho_a1_1.png
me3_tohoho_a1_2,external\ps3\ep1\sprite\me3_tohoho_a1_2.png
me3_tokui_a1_0,external\ps3\ep1\sprite\me3_tokui_a1_0.png
me3_tokui_a1_1,external\ps3\ep1\sprite\me3_tokui_a1_1.png
me3_tokui_a1_2,external\ps3\ep1\sprite\me3_tokui_a1_2.png
me3_warai_a1_0,external\ps3\ep1\sprite\me3_warai_a1_0.png
me3_warai_a1_1,external\ps3\ep1\sprite\me3_warai_a1_1.png
me3_warai_a1_2,external\ps3\ep1\sprite\me3_warai_a1_2.png
me3_wink_a1_0,external\ps3\ep1\sprite\me3_wink_a1_0.png
me3_wink_a1_1,external\ps3\ep1\sprite\me3_wink_a1_1.png
me3_wink_a1_2,external\ps3\ep1\sprite\me3_wink_a1_2.png
me4_akuwarai_a1_0,external\ps3\ep1\sprite\me4_akuwarai_a1_0.png
me4_akuwarai_a1_1,external\ps3\ep1\sprite\me4_akuwarai_a1_1.png
me4_akuwarai_a1_2,external\ps3\ep1\sprite\me4_akuwarai_a1_2.png
me4_huteki_a1_0,external\ps3\ep1\sprite\me4_huteki_a1_0.png
me4_huteki_a1_1,external\ps3\ep1\sprite\me4_huteki_a1_1.png
me4_huteki_a1_2,external\ps3\ep1\sprite\me4_huteki_a1_2.png
me4_wink_a1_0,external\ps3\ep1\sprite\me4_wink_a1_0.png
me4_wink_a1_1,external\ps3\ep1\sprite\me4_wink_a1_1.png
me4_wink_a1_2,external\ps3\ep1\sprite\me4_wink_a1_2.png
me5_akuwarai_a1_0,external\ps3\ep6\sprite\me5_akuwarai_a1_0.png
me5_akuwarai_a1_1,external\ps3\ep6\sprite\me5_akuwarai_a1_1.png
me5_akuwarai_a1_2,external\ps3\ep6\sprite\me5_akuwarai_a1_2.png
me5_def_a1_0,external\ps3\ep6\sprite\me5_def_a1_0.png
me5_def_a1_1,external\ps3\ep6\sprite\me5_def_a1_1.png
me5_def_a1_2,external\ps3\ep6\sprite\me5_def_a1_2.png
me5_huteki_a1_0,external\ps3\ep6\sprite\me5_huteki_a1_0.png
me5_huteki_a1_1,external\ps3\ep6\sprite\me5_huteki_a1_1.png
me5_huteki_a1_2,external\ps3\ep6\sprite\me5_huteki_a1_2.png
me5_tohoho_a1_0,external\ps3\ep6\sprite\me5_tohoho_a1_0.png
me5_tohoho_a1_1,external\ps3\ep6\sprite\me5_tohoho_a1_1.png
me5_tohoho_a1_2,external\ps3\ep6\sprite\me5_tohoho_a1_2.png
me5_warai_a1_0,external\ps3\ep6\sprite\me5_warai_a1_0.png
me5_warai_a1_1,external\ps3\ep6\sprite\me5_warai_a1_1.png
me5_warai_a1_2,external\ps3\ep6\sprite\me5_warai_a1_2.png
me5_wink_a1_0,external\ps3\ep6\sprite\me5_wink_a1_0.png
me5_wink_a1_1,external\ps3\ep6\sprite\me5_wink_a1_1.png
me5_wink_a1_2,external\ps3\ep6\sprite\me5_wink_a1_2.png
mea_t1,external\ps3\ep5\prologue\mea_t1.png
mea_t2,external\ps3\ep5\prologue\mea_t2.png
mea_t3,external\ps3\ep5\prologue\mea_t3.png
mea_t4,external\ps3\ep5\prologue\mea_t4.png
mea_t5,external\ps3\ep5\prologue\mea_t5.png
meaed1,external\ps3\ep5\text\meaed1.png
meaed1_j,external\ps3\ep5\text\meaed1_j.png
meaed2,external\ps3\ep5\text\meaed2.png
meaed2_j,external\ps3\ep5\text\meaed2_j.png
meaed3,external\ps3\ep5\text\meaed3.png
meaed3_j,external\ps3\ep5\text\meaed3_j.png
meaed4,external\ps3\ep5\text\meaed4.png
meaed4_j,external\ps3\ep5\text\meaed4_j.png
meaed5,external\ps3\ep5\text\meaed5.png
meaed5_j,external\ps3\ep5\text\meaed5_j.png
meaed6,external\ps3\ep5\text\meaed6.png
meaed6_j,external\ps3\ep5\text\meaed6_j.png
meaed7,external\ps3\ep5\text\meaed7.png
meaed7_j,external\ps3\ep5\text\meaed7_j.png
meak_staff_01,external\ps3\ep5\text\meak_staff_01.png
meak_staff_01_j,external\ps3\ep5\text\meak_staff_01_j.png
meakasi_list,external\ps3\ep5\text\meakasi_list.png
meakasi_list_j,external\ps3\ep5\text\meakasi_list_j.png
mina_katari1,external\ps3\ep7\text\mina_katari1.png
mina_katari10,external\ps3\ep7\text\mina_katari10.png
mina_katari10_j,external\ps3\ep7\text\mina_katari10_j.png
mina_katari11,external\ps3\ep7\text\mina_katari11.png
mina_katari11_j,external\ps3\ep7\text\mina_katari11_j.png
mina_katari12,external\ps3\ep7\text\mina_katari12.png
mina_katari12_j,external\ps3\ep7\text\mina_katari12_j.png
mina_katari13,external\ps3\ep7\text\mina_katari13.png
mina_katari13_j,external\ps3\ep7\text\mina_katari13_j.png
mina_katari14,external\ps3\ep7\text\mina_katari14.png
mina_katari14_j,external\ps3\ep7\text\mina_katari14_j.png
mina_katari15,external\ps3\ep7\text\mina_katari15.png
mina_katari15_j,external\ps3\ep7\text\mina_katari15_j.png
mina_katari16,external\ps3\ep7\text\mina_katari16.png
mina_katari16_j,external\ps3\ep7\text\mina_katari16_j.png
mina_katari17,external\ps3\ep7\text\mina_katari17.png
mina_katari17_j,external\ps3\ep7\text\mina_katari17_j.png
mina_katari18,external\ps3\ep7\text\mina_katari18.png
mina_katari18_j,external\ps3\ep7\text\mina_katari18_j.png
mina_katari19,external\ps3\ep7\text\mina_katari19.png
mina_katari19_j,external\ps3\ep7\text\mina_katari19_j.png
mina_katari1_j,external\ps3\ep7\text\mina_katari1_j.png
mina_katari2,external\ps3\ep7\text\mina_katari2.png
mina_katari20,external\ps3\ep7\text\mina_katari20.png
mina_katari20_j,external\ps3\ep7\text\mina_katari20_j.png
mina_katari21,external\ps3\ep7\text\mina_katari21.png
mina_katari21_j,external\ps3\ep7\text\mina_katari21_j.png
mina_katari22,external\ps3\ep7\text\mina_katari22.png
mina_katari22_j,external\ps3\ep7\text\mina_katari22_j.png
mina_katari23,external\ps3\ep7\text\mina_katari23.png
mina_katari23_j,external\ps3\ep7\text\mina_katari23_j.png
mina_katari24,external\ps3\ep7\text\mina_katari24.png
mina_katari24_j,external\ps3\ep7\text\mina_katari24_j.png
mina_katari2_j,external\ps3\ep7\text\mina_katari2_j.png
mina_katari3,external\ps3\ep7\text\mina_katari3.png
mina_katari3_j,external\ps3\ep7\text\mina_katari3_j.png
mina_katari4,external\ps3\ep7\text\mina_katari4.png
mina_katari4_j,external\ps3\ep7\text\mina_katari4_j.png
mina_katari5,external\ps3\ep7\text\mina_katari5.png
mina_katari5_j,external\ps3\ep7\text\mina_katari5_j.png
mina_katari6,external\ps3\ep7\text\mina_katari6.png
mina_katari6_j,external\ps3\ep7\text\mina_katari6_j.png
mina_katari7,external\ps3\ep7\text\mina_katari7.png
mina_katari7_j,external\ps3\ep7\text\mina_katari7_j.png
mina_katari8,external\ps3\ep7\text\mina_katari8.png
mina_katari8_j,external\ps3\ep7\text\mina_katari8_j.png
mina_katari9,external\ps3\ep7\text\mina_katari9.png
mina_katari9_j,external\ps3\ep7\text\mina_katari9_j.png
mina_t1,external\ps3\ep7\prologue\mina_t1.png
mina_t1_j,external\ps3\ep7\prologue\mina_t1_j.png
mina_t2,external\ps3\ep7\prologue\mina_t2.png
mina_t2_j,external\ps3\ep7\prologue\mina_t2_j.png
minacubemap,external\ps3\ep7\minacubemap.png
miyo1_def_0,external\ps3\ep8\sprite\miyo1_def_0.png
miyo1_def_1,external\ps3\ep8\sprite\miyo1_def_1.png
miyo1_def_2,external\ps3\ep8\sprite\miyo1_def_2.png
miyo1_komari_0,external\ps3\ep8\portrait\miyo1_komari_0.png
miyo1_komari_1,external\ps3\ep8\portrait\miyo1_komari_1.png
miyo1_komari_2,external\ps3\ep8\portrait\miyo1_komari_2.png
miyo1_majime_0,external\ps3\ep8\sprite\miyo1_majime_0.png
miyo1_majime_1,external\ps3\ep8\sprite\miyo1_majime_1.png
miyo1_majime_2,external\ps3\ep8\sprite\miyo1_majime_2.png
miyo1_warai_0,external\ps3\ep8\sprite\miyo1_warai_0.png
miyo1_warai_1,external\ps3\ep8\sprite\miyo1_warai_1.png
miyo1_warai_2,external\ps3\ep8\sprite\miyo1_warai_2.png
miyo3_def_0,external\ps3\ep8\sprite\miyo3_def_0.png
miyo3_def_1,external\ps3\ep8\sprite\miyo3_def_1.png
miyo3_def_2,external\ps3\ep8\sprite\miyo3_def_2.png
miyo3_komari_0,external\ps3\ep8\sprite\miyo3_komari_0.png
miyo3_komari_1,external\ps3\ep8\sprite\miyo3_komari_1.png
miyo3_komari_2,external\ps3\ep8\sprite\miyo3_komari_2.png
miyuki_def_0,external\ps3\ep4\portrait\miyuki_def_0.png
miyuki_def_1,external\ps3\ep4\portrait\miyuki_def_1.png
miyuki_def_2,external\ps3\ep4\portrait\miyuki_def_2.png
miyuki_hatena_0,external\ps3\ep4\portrait\miyuki_hatena_0.png
miyuki_hatena_1,external\ps3\ep4\portrait\miyuki_hatena_1.png
miyuki_hatena_2,external\ps3\ep4\portrait\miyuki_hatena_2.png
miyuki_huan_0,external\ps3\ep4\portrait\miyuki_huan_0.png
miyuki_huan_1,external\ps3\ep4\portrait\miyuki_huan_1.png
miyuki_huan_2,external\ps3\ep4\portrait\miyuki_huan_2.png
miyuki_kanashimi_0,external\ps3\ep4\sprite\miyuki_kanashimi_0.png
miyuki_kanashimi_1,external\ps3\ep4\sprite\miyuki_kanashimi_1.png
miyuki_kanashimi_2,external\ps3\ep4\sprite\miyuki_kanashimi_2.png
miyuki_neboke_0,external\ps3\ep4\sprite\miyuki_neboke_0.png
miyuki_neboke_1,external\ps3\ep4\sprite\miyuki_neboke_1.png
miyuki_neboke_2,external\ps3\ep4\sprite\miyuki_neboke_2.png
miyuki_warai_0,external\ps3\ep4\portrait\miyuki_warai_0.png
miyuki_warai_1,external\ps3\ep4\portrait\miyuki_warai_1.png
miyuki_warai_2,external\ps3\ep4\portrait\miyuki_warai_2.png
mo1,external\ps3\ep1\background\mo1.png
mo1_01,external\ps3\ep1\background\mo1_01.png
mo1_02,external\ps3\ep3\background\mo1_02.png
mo2,external\ps3\ep1\background\mo2.png
mo2_01,external\ps3\ep1\background\mo2_01.png
mo2_02,external\ps3\ep3\background\mo2_02.png
mo3,external\ps3\ep1\background\mo3.png
mo3_01,external\ps3\ep1\background\mo3_01.png
mo3_02,external\ps3\ep4\background\mo3_02.png
mo4,external\ps3\ep2\background\mo4.png
mo4_01,external\ps3\ep1\background\mo4_01.png
mo4_02,external\ps3\ep4\background\mo4_02.png
mo4_04,external\ps3\ep8\background\mo4_04.png
mo4_05,external\ps3\ep2\background\mo4_05.png
mo_b1,external\ps3\ep1\background\mo_b1.png
mo_g1,external\ps3\ep1\background\mo_g1.png
mo_g1_01,external\ps3\ep1\background\mo_g1_01.png
mo_g2,external\ps3\ep1\background\mo_g2.png
mo_g2_01,external\ps3\ep1\background\mo_g2_01.png
mo_g3_01,external\ps3\ep1\background\mo_g3_01.png
mo_r1,external\ps3\ep6\background\mo_r1.png
mo_r1_01,external\ps3\ep6\background\mo_r1_01.png
mo_r1_02,external\ps3\ep6\background\mo_r1_02.png
mo_r1_03,external\ps3\ep6\background\mo_r1_03.png
mo_yg1,external\ps3\ep6\background\mo_yg1.png
mob1_01,external\ps3\ep5\background\mob1_01.png
monologue_hima1,external\ps3\ep4\text\monologue_hima1.png
monologue_hima1_j,external\ps3\ep4\text\monologue_hima1_j.png
monologue_hima2,external\ps3\ep4\text\monologue_hima2.png
monologue_hima2_j,external\ps3\ep4\text\monologue_hima2_j.png
monologue_hima3,external\ps3\ep4\text\monologue_hima3.png
monologue_hima3_j,external\ps3\ep4\text\monologue_hima3_j.png
monologue_mea1,external\ps3\ep5\text\monologue_mea1.png
monologue_mea1_j,external\ps3\ep5\text\monologue_mea1_j.png
monologue_mea2,external\ps3\ep5\text\monologue_mea2.png
monologue_mea2_j,external\ps3\ep5\text\monologue_mea2_j.png
monologue_mea3,external\ps3\ep5\text\monologue_mea3.png
monologue_mea3_j,external\ps3\ep5\text\monologue_mea3_j.png
monologue_mea4,external\ps3\ep5\text\monologue_mea4.png
monologue_mea4_j,external\ps3\ep5\text\monologue_mea4_j.png
monologue_mina1,external\ps3\ep7\text\monologue_mina1.png
monologue_mina1_j,external\ps3\ep7\text\monologue_mina1_j.png
monologue_mina2,external\ps3\ep7\text\monologue_mina2.png
monologue_mina2_j,external\ps3\ep7\text\monologue_mina2_j.png
monologue_mina3,external\ps3\ep7\text\monologue_mina3.png
monologue_mina3_j,external\ps3\ep7\text\monologue_mina3_j.png
monologue_mina4,external\ps3\ep7\text\monologue_mina4.png
monologue_mina4_j,external\ps3\ep7\text\monologue_mina4_j.png
monologue_mina5,external\ps3\ep7\text\monologue_mina5.png
monologue_mina5_j,external\ps3\ep7\text\monologue_mina5_j.png
monologue_oni1,external\ps3\ep1\text\monologue_oni1.png
monologue_oni1_j,external\ps3\ep1\text\monologue_oni1_j.png
monologue_oni2,external\ps3\ep1\text\monologue_oni2.png
monologue_oni2_j,external\ps3\ep1\text\monologue_oni2_j.png
monologue_oni3,external\ps3\ep1\text\monologue_oni3.png
monologue_oni3_j,external\ps3\ep1\text\monologue_oni3_j.png
monologue_tata1,external\ps3\ep3\text\monologue_tata1.png
monologue_tata1_j,external\ps3\ep3\text\monologue_tata1_j.png
monologue_tata2,external\ps3\ep3\text\monologue_tata2.png
monologue_tata2_j,external\ps3\ep3\text\monologue_tata2_j.png
monologue_tata3,external\ps3\ep3\text\monologue_tata3.png
monologue_tata3_j,external\ps3\ep3\text\monologue_tata3_j.png
monologue_tsumi1,external\ps3\ep6\text\monologue_tsumi1.png
monologue_tsumi1_j,external\ps3\ep6\text\monologue_tsumi1_j.png
monologue_tsumi2,external\ps3\ep6\text\monologue_tsumi2.png
monologue_tsumi2_j,external\ps3\ep6\text\monologue_tsumi2_j.png
monologue_tsumi3,external\ps3\ep6\text\monologue_tsumi3.png
monologue_tsumi3_j,external\ps3\ep6\text\monologue_tsumi3_j.png
monologue_tsumi4,external\ps3\ep6\text\monologue_tsumi4.png
monologue_tsumi4_j,external\ps3\ep6\text\monologue_tsumi4_j.png
monologue_tsumi5,external\ps3\ep6\text\monologue_tsumi5.png
monologue_tsumi5_j,external\ps3\ep6\text\monologue_tsumi5_j.png
monologue_wata1,external\ps3\ep2\text\monologue_wata1.png
monologue_wata1_j,external\ps3\ep2\text\monologue_wata1_j.png
monologue_wata2,external\ps3\ep2\text\monologue_wata2.png
monologue_wata2_j,external\ps3\ep2\text\monologue_wata2_j.png
monologue_wata3,external\ps3\ep2\text\monologue_wata3.png
monologue_wata3_j,external\ps3\ep2\text\monologue_wata3_j.png
moon,external\ps3\ep2\background\moon.png
moon_01,external\ps3\ep5\background\moon_01.png
mozaik,external\ps3\ep5\mozaik.png
neki1,external\ps3\ep5\background\neki1.png
neki1_02,external\ps3\ep8\background\neki1_02.png
no_data,external\ps3\ep1\no_data.png
nort,external\ps3\ep4\background\nort.png
nort150,external\ps3\ep5\text\nort150.png
nort150_j,external\ps3\ep5\text\nort150_j.png
nort159,external\ps3\ep5\text\nort159.png
nort159_j,external\ps3\ep5\text\nort159_j.png
nort165,external\ps3\ep5\text\nort165.png
nort165_j,external\ps3\ep5\text\nort165_j.png
nort186,external\ps3\ep5\text\nort186.png
nort186_j,external\ps3\ep5\text\nort186_j.png
nort19,external\ps3\ep5\text\nort19.png
nort19_j,external\ps3\ep5\text\nort19_j.png
nort26,external\ps3\ep5\text\nort26.png
nort26_j,external\ps3\ep5\text\nort26_j.png
nort27,external\ps3\ep5\text\nort27.png
nort27_j,external\ps3\ep5\text\nort27_j.png
nort43,external\ps3\ep5\text\nort43.png
nort43_j,external\ps3\ep5\text\nort43_j.png
nort5,external\ps3\ep5\text\nort5.png
nort5_j,external\ps3\ep5\text\nort5_j.png
nort_mono1,external\ps3\ep5\notebook\nort_mono1.png
nort_mono2,external\ps3\ep5\notebook\nort_mono2.png
nort_mono3,external\ps3\ep5\notebook\nort_mono3.png
nort_mono4,external\ps3\ep5\notebook\nort_mono4.png
nort_mono5,external\ps3\ep5\notebook\nort_mono5.png
nort_mono6,external\ps3\ep5\notebook\nort_mono6.png
o_ri,external\ps3\ep8\scene\o_ri.png
ohaka_02,external\ps3\ep8\background\ohaka_02.png
oisi1_1_0,external\ps3\ep1\portrait\oisi1_1_0.png
oisi1_1_1,external\ps3\ep1\portrait\oisi1_1_1.png
oisi1_1_2,external\ps3\ep1\portrait\oisi1_1_2.png
oisi1_2_0,external\ps3\ep1\sprite\oisi1_2_0.png
oisi1_2_1,external\ps3\ep1\sprite\oisi1_2_1.png
oisi1_2_2,external\ps3\ep1\sprite\oisi1_2_2.png
oisi1_3_0,external\ps3\ep1\sprite\oisi1_3_0.png
oisi1_3_1,external\ps3\ep1\sprite\oisi1_3_1.png
oisi1_3_2,external\ps3\ep1\sprite\oisi1_3_2.png
oisi1_4_0,external\ps3\ep3\sprite\oisi1_4_0.png
oisi1_4_1,external\ps3\ep3\sprite\oisi1_4_1.png
oisi1_4_2,external\ps3\ep3\sprite\oisi1_4_2.png
oisi1_5_0,external\ps3\ep2\portrait\oisi1_5_0.png
oisi1_5_1,external\ps3\ep2\portrait\oisi1_5_1.png
oisi1_5_2,external\ps3\ep2\portrait\oisi1_5_2.png
oisi2_6_0,external\ps3\ep4\sprite\oisi2_6_0.png
oisi2_6_1,external\ps3\ep4\sprite\oisi2_6_1.png
oisi2_6_2,external\ps3\ep4\sprite\oisi2_6_2.png
oisi2_7_0,external\ps3\ep4\sprite\oisi2_7_0.png
oisi2_7_1,external\ps3\ep4\sprite\oisi2_7_1.png
oisi2_7_2,external\ps3\ep4\sprite\oisi2_7_2.png
oisi2_8_0,external\ps3\ep4\portrait\oisi2_8_0.png
oisi2_8_1,external\ps3\ep4\portrait\oisi2_8_1.png
oisi2_8_2,external\ps3\ep4\portrait\oisi2_8_2.png
oisi2_9_0,external\ps3\ep4\sprite\oisi2_9_0.png
oisi2_9_1,external\ps3\ep4\sprite\oisi2_9_1.png
oisi2_9_2,external\ps3\ep4\sprite\oisi2_9_2.png
oka1_def_0,external\ps3\ep2\sprite\oka1_def_0.png
oka1_def_1,external\ps3\ep2\sprite\oka1_def_1.png
oka1_def_2,external\ps3\ep2\sprite\oka1_def_2.png
oka1_odoroki_0,external\ps3\ep2\sprite\oka1_odoroki_0.png
oka1_odoroki_1,external\ps3\ep2\sprite\oka1_odoroki_1.png
oka1_odoroki_2,external\ps3\ep2\sprite\oka1_odoroki_2.png
oka1_shinken_0,external\ps3\ep2\sprite\oka1_shinken_0.png
oka1_shinken_1,external\ps3\ep2\sprite\oka1_shinken_1.png
oka1_shinken_2,external\ps3\ep2\sprite\oka1_shinken_2.png
oka1_tere_0,external\ps3\ep2\sprite\oka1_tere_0.png
oka1_tere_1,external\ps3\ep2\sprite\oka1_tere_1.png
oka1_tere_2,external\ps3\ep2\sprite\oka1_tere_2.png
oka1_warai_0,external\ps3\ep2\sprite\oka1_warai_0.png
oka1_warai_1,external\ps3\ep2\sprite\oka1_warai_1.png
oka1_warai_2,external\ps3\ep2\sprite\oka1_warai_2.png
oka2_odoroki_0,external\ps3\ep6\sprite\oka2_odoroki_0.png
oka2_odoroki_1,external\ps3\ep6\sprite\oka2_odoroki_1.png
oka2_odoroki_2,external\ps3\ep6\sprite\oka2_odoroki_2.png
oka2_shinken_0,external\ps3\ep6\sprite\oka2_shinken_0.png
oka2_shinken_1,external\ps3\ep6\sprite\oka2_shinken_1.png
oka2_shinken_2,external\ps3\ep6\sprite\oka2_shinken_2.png
oka2_warai_0,external\ps3\ep6\sprite\oka2_warai_0.png
oka2_warai_1,external\ps3\ep6\sprite\oka2_warai_1.png
oka2_warai_2,external\ps3\ep6\sprite\oka2_warai_2.png
oki_g3,external\ps3\ep1\background\oki_g3.png
okinomiya,external\ps3\ep4\text\okinomiya.png
okinomiya_j,external\ps3\ep4\text\okinomiya_j.png
